patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US190505A,1877-05-08,Thomas mcnicholas ,"['Thomas', 'mcnicholas']","[('Thomas', 'NNP'), ('mcnicholas', 'NNS')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US190512A,1877-05-08,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US190533A,1877-05-08,anthony  ,['anthony'],"[('anthony', 'NN')]",0,"['PROPN', 'SPACE']",['PERSON'],1,1,2
US190843A,1877-05-15,Levi k ,"['Levi', 'k']","[('Levi', 'NNP'), ('k', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US190905A,1877-05-15,Improvement in bung and bush combined ,"['Improvement', 'in', 'bung', 'and', 'bush', 'combined']","[('Improvement', 'NN'), ('in', 'IN'), ('bung', 'NN'), ('and', 'CC'), ('bush', 'NN'), ('combined', 'VBN')]",0,"['NOUN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,6
US191119A,1877-05-22,davis ,['davis'],"[('davis', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US191199A,1877-05-22,Edwin e ,"['Edwin', 'e']","[('Edwin', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US191216A,1877-03-23,"Improvement in latches for doors, &c. 
     ","['Improvement', 'in', 'latches', 'for', 'doors,', '&c.']","[('Improvement', 'NN'), ('in', 'IN'), ('latches', 'NNS'), ('for', 'IN'), ('doors,', 'NN'), ('&c.', 'NN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'PROPN', 'SPACE']",['PERSON'],1,1,9
US191330A,1877-05-29,John fenton ,"['John', 'fenton']","[('John', 'NNP'), ('fenton', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US191449A,1877-05-29,Hobeison ,['Hobeison'],"[('Hobeison', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US191527A,1877-06-05,gotjbert ,['gotjbert'],"[('gotjbert', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US191782A,1877-06-12,burgh smith ,"['burgh', 'smith']","[('burgh', 'NN'), ('smith', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US192008A,1877-06-12,William eandel ,"['William', 'eandel']","[('William', 'NNP'), ('eandel', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US192235A,1877-06-19,ceaig ,['ceaig'],"[('ceaig', 'NN')]",0,['NOUN'],['PERSON'],0,1,1
US192401A,1877-06-26,William b ,"['William', 'b']","[('William', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US192460A,1877-06-26,Joseph s ,"['Joseph', 's']","[('Joseph', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US192620A,1877-07-03,James w ,"['James', 'w']","[('James', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US192813A,1877-07-10,William  ,['William'],"[('William', 'NNP')]",1,"['PROPN', 'SPACE']",['PERSON'],1,1,2
US192844A,1877-07-10,smith ,['smith'],"[('smith', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US192862A,1877-07-10,William w ,"['William', 'w']","[('William', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US192900A,1877-07-10,John a ,"['John', 'a']","[('John', 'NNP'), ('a', 'DT')]",1,"['PROPN', 'PRON']",['PERSON'],1,1,2
US193024A,1877-07-10,Stephen s ,"['Stephen', 's']","[('Stephen', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US193192A,1877-07-17,William spethmann ,"['William', 'spethmann']","[('William', 'NNP'), ('spethmann', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
