patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US134642A,1873-01-07,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134680A,1873-01-07,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134753A,1873-01-14,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134779A,1873-01-14,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134785A,1873-01-14,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134826A,1873-01-14,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134972A,1873-01-21,blessing ,['blessing'],"[('blessing', 'NN')]",0,['NOUN'],[],0,0,1,0
US135193A,1873-01-28,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135196A,1873-01-28,boeklen ,['boeklen'],"[('boeklen', 'NN')]",0,['VERB'],[],0,0,1,0
US135209A,1873-01-28,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135226A,1873-01-28,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135237A,1873-01-28,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135324A,1873-01-28,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135427A,1873-02-04,hastings ,['hastings'],"[('hastings', 'NNS')]",0,['NOUN'],[],0,0,1,0
US135463A,1873-02-04,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135500A,1873-02-04,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135720A,1873-02-11,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US135794A,1873-02-11,fbyek ,['fbyek'],"[('fbyek', 'NN')]",0,['ADV'],[],0,0,1,0
US136320A,1873-02-25,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US136334A,1873-02-25,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US136432A,1873-03-04,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US136448A,1873-03-04,mullar ,['mullar'],"[('mullar', 'NN')]",0,['ADJ'],[],0,0,1,0
US136799A,1873-03-11,Scale ,['Scale'],"[('Scale', 'NN')]",0,['NOUN'],[],0,0,1,0
US136972A,1873-03-18,Machines ,['Machines'],"[('Machines', 'NNS')]",0,['NOUN'],[],0,0,1,0
US137087A,1873-03-25,Isviprgve ,['Isviprgve'],"[('Isviprgve', 'NN')]",0,['NOUN'],[],0,0,1,0
US137269A,1873-03-25,Whintates ,['Whintates'],"[('Whintates', 'NNS')]",0,['VERB'],[],0,0,1,0
US137343A,1873-04-01,chamberlain ,['chamberlain'],"[('chamberlain', 'NN')]",0,['NOUN'],[],0,0,1,0
US137349A,1873-04-01,dickinson ,['dickinson'],"[('dickinson', 'NN')]",0,['NOUN'],[],0,0,1,0
