patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US64780A,1867-05-14,Edward mates ,"['Edward', 'mates']","[('Edward', 'NNP'), ('mates', 'NNS')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64783A,1867-05-14,Joshua meeeill ,"['Joshua', 'meeeill']","[('Joshua', 'NNP'), ('meeeill', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64784A,1867-05-14,Abraham michelb ac hek ,"['Abraham', 'michelb', 'ac', 'hek']","[('Abraham', 'NNP'), ('michelb', 'NN'), ('ac', 'NN'), ('hek', 'NN')]",1,"['PROPN', 'VERB', 'PRON', 'PROPN']",['PERSON'],1,1,4
US64785A,1867-05-14,William miller ,"['William', 'miller']","[('William', 'NNP'), ('miller', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64787A,1867-05-14,mitchell ,['mitchell'],"[('mitchell', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64801A,1867-05-14,John f ,"['John', 'f']","[('John', 'NNP'), ('f', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US64803A,1867-05-14,William e ,"['William', 'e']","[('William', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64805A,1867-05-14,Charles sparks ,"['Charles', 'sparks']","[('Charles', 'NNP'), ('sparks', 'NNS')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64810A,1867-05-14,Dttncan d ,"['Dttncan', 'd']","[('Dttncan', 'NNP'), ('d', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US64815A,1867-05-14,jy wellman ,"['jy', 'wellman']","[('jy', 'NN'), ('wellman', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64819A,1867-05-14,William n ,"['William', 'n']","[('William', 'NNP'), ('n', 'NN')]",1,"['PROPN', 'CCONJ']",['PERSON'],1,1,2
US64824A,1867-05-14,George s ,"['George', 's']","[('George', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US64828A,1867-05-21,George h ,"['George', 'h']","[('George', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64836A,1867-05-21,campbell ,['campbell'],"[('campbell', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64837A,1867-05-21,James f ,"['James', 'f']","[('James', 'NNP'), ('f', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US64840A,1867-05-21,George f ,"['George', 'f']","[('George', 'NNP'), ('f', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64845A,1867-05-21,Joseph h ,"['Joseph', 'h']","[('Joseph', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64849A,1867-05-21,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
