patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US68523A,1867-09-03,of de witt ,"['of', 'de', 'witt']","[('of', 'IN'), ('de', 'FW'), ('witt', 'FW')]",0,"['ADP', 'X', 'X']",[],0,0,3,0,1
US68699A,1867-09-10,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US68926A,1867-09-17,To all ,"['To', 'all']","[('To', 'TO'), ('all', 'DT')]",0,"['ADP', 'PRON']",[],0,0,2,0,1
US69132A,1867-09-24,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US69191A,1867-09-24,And washing ,"['And', 'washing']","[('And', 'CC'), ('washing', 'VBG')]",0,"['CCONJ', 'NOUN']",[],0,0,2,0,1
US69240A,1867-09-24,of os we go ,"['of', 'os', 'we', 'go']","[('of', 'IN'), ('os', 'NN'), ('we', 'PRP'), ('go', 'VBP')]",0,"['ADP', 'INTJ', 'PRON', 'VERB']",[],0,0,4,0,1
US69277A,1867-09-24,of n e ware ,"['of', 'n', 'e', 'ware']","[('of', 'IN'), ('n', 'JJ'), ('e', 'NN'), ('ware', 'NN')]",0,"['ADP', 'CCONJ', 'NOUN', 'VERB']",[],0,0,4,0,1
US69544A,1867-10-08,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US69639A,1867-10-08,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US69753A,1867-10-15,of rockville ,"['of', 'rockville']","[('of', 'IN'), ('rockville', 'NN')]",0,"['ADP', 'NOUN']",['GPE'],0,0,2,0,1
US69779A,1867-10-15,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US69958A,1867-10-22,of manchester ,"['of', 'manchester']","[('of', 'IN'), ('manchester', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US70056A,1867-10-22,These presents shall gome ,"['These', 'presents', 'shall', 'gome']","[('These', 'DT'), ('presents', 'NNS'), ('shall', 'MD'), ('gome', 'VB')]",0,"['DET', 'NOUN', 'AUX', 'VERB']",[],0,0,4,0,1
US70258A,1867-10-29,of g-alesbukg ,"['of', 'g-alesbukg']","[('of', 'IN'), ('g-alesbukg', 'NN')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
