patent_number,date,title
US300550A,1884-06-17,Half to charles green 
US300551A,1884-06-17,George e 
US300552A,1884-06-17,Plug for bowls and bath-tubs 
US300553A,1884-06-17,Trapped plug for bowls and tubs 
US300554A,1884-06-17,Process-kettle for cooking canned fruit 
US300555A,1884-06-17,Spark-arrester 
US300556A,1884-06-17,Brick-machine 
US300557A,1884-06-17,foesteb 
US300558A,1884-06-17,Slide-holder for magic-lanterns 
US300559A,1884-06-17,Stove-pipe damper 
US300560A,1884-06-17,compositions 
US300561A,1884-06-17,Hitching-strap 
US300562A,1884-06-17,bishopbjck 
US300563A,1884-06-17,Cultivator 
US300564A,1884-06-17,Driving-rein 
US300565A,1884-06-17,Bustle 
US300566A,1884-06-17,Hiseioh bruee 
US300567A,1884-06-17,William t 
US300568A,1884-06-17,Bicycle-bell 
US300569A,1884-06-17,Coupon-bearing bond 
US300570A,1884-06-17,Eobeet cefteb 
US300571A,1884-06-17,Nail-plate feeder 
US300572A,1884-06-17,olaek 
US300573A,1884-06-17,Pump-spout 
US300574A,1884-06-17,coburn 
US300575A,1884-06-17,Albert mifflix cochbax 
US300576A,1884-06-17,Submerged tunnel-inlet 
US300577A,1884-06-17,Cuttefi 
US300578A,1884-06-17,Boiler 
US300579A,1884-06-17,Belt-shifting device 
US300580A,1884-06-17,Charles james dobbs 
US300581A,1884-06-17,Fire-proof building 
US300582A,1884-06-17,Drag-saw 
US300583A,1884-06-17,G-as and lamp beaceet 
US300584A,1884-06-17,Gas and lamp beacket 
US300585A,1884-06-17,Automatic car-brake 
US300586A,1884-06-17,fieeo 
US300587A,1884-06-17,Oiuel a 
US300588A,1884-06-17,George foebes 
US300589A,1884-06-17,Thomas p 
US300590A,1884-06-17,Cornet 
US300591A,1884-06-17,Thomas p 
US300592A,1884-06-17,Projectile for carrying explosive shells 
US300593A,1884-06-17,Fbedeicii geib 
US300594A,1884-06-17,Willard h 
US300595A,1884-06-17,Folding poultry-coop 
US300596A,1884-06-17,Refrigerator-car 
US300597A,1884-06-17,Thill-coupling 
US300598A,1884-06-17,g-rellieb 
US300599A,1884-06-17,Chaeles e 
US300600A,1884-06-17,halsey 
US300601A,1884-06-17,Oil-stove 
US300602A,1884-06-17,hanlon 
US300603A,1884-06-17,Benjamin f 
US300604A,1884-06-17,hartmann 
US300605A,1884-06-17,Trace-bugkle 
US300606A,1884-06-17,Paper-folding machine 
US300607A,1884-06-17,eewett 
US300608A,1884-06-17,Fruit-harvesting device 
US300609A,1884-06-17,Pantaloon-stretcher 
US300610A,1884-06-17,Horse-power 
US300611A,1884-06-17,Wagon-seat 
US300612A,1884-06-17,Filter 
US300613A,1884-06-17,Botjru 
US300614A,1884-06-17,Gang-plow canting device 
US300615A,1884-06-17,Johk a 
US300616A,1884-06-17,Halp to c 
US300617A,1884-06-17,Folding chair 
US300618A,1884-06-17,molqjset 
US300619A,1884-06-17,cheistophee 
US300620A,1884-06-17,Churn-motor 
US300621A,1884-06-17,Chaeles b 
US300622A,1884-06-17,Geoege w 
US300623A,1884-06-17,miller 
US300624A,1884-06-17,Benjamin p 
US300625A,1884-06-17,Oscillating meter 
US300626A,1884-06-17,Oscillating metee 
US300627A,1884-06-17,Oscillating meter 
US300628A,1884-06-17,Oscillating metee 
US300629A,1884-06-17,Oscillating watee metee 
US300630A,1884-06-17,Oscillating watee metes 
US300631A,1884-06-17,Sectional ladder 
US300632A,1884-06-17,Back-band hook 
US300633A,1884-06-17,Daniel oeme and fbancis heaists oeme 
US300634A,1884-06-17,Alpeed w 
US300635A,1884-06-17,Hoeaoe w 
US300636A,1883-01-13,Charles p 
US300637A,1884-06-17,Planer-chuck 
US300638A,1884-06-17,pratt 
US300639A,1884-06-17,Henby e 
US300640A,1884-06-17,Chaeles hollo wat eeed 
US300641A,1884-06-17,Machine for finishing bolt-heads and nuts 
US300642A,1884-06-17,robinson 
US300643A,1884-06-17,Gage-cock 
US300644A,1884-06-17,Embroidering attachment for sewing-machines 
US300645A,1884-06-17,Band-cutting and feeding attachment for thrashing-machines 
US300646A,1884-06-17,Washing-machine 
US300647A,1884-06-17,Speed-regulator 
US300648A,1884-06-17,And hermann a 
US300649A,1884-06-17,Cultivator and cotton-chopper 
US300650A,1884-06-17,sheeman 
US300651A,1884-06-17,William b 
US300652A,1884-06-17,Cabl j 
US300653A,1884-06-17,Ietailic packing for piston and valve rods 
US300654A,1884-06-17,Area-window protector 
US300655A,1884-06-17,Shirt 
US300656A,1884-06-17,Skate-sharpener 
US300657A,1884-06-17,William stubblebine 
US300658A,1884-06-17,taylor 
US300659A,1884-06-17,Seed-sower 
US300660A,1884-06-17,Foe vehicles 
US300661A,1884-06-17,thompson  
US300662A,1884-06-17,Temporary binder 
US300663A,1884-06-17,Chimney-cap 
US300664A,1884-06-17,Steam-trap 
US300665A,1884-06-17,Attachment for fire-engines 
