patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1618083A,1926-10-19,Bait,['Bait'],"[('Bait', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618088A,1926-05-26,Purse,['Purse'],"[('Purse', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618094A,1919-10-17,Trailer,['Trailer'],"[('Trailer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618104A,1922-06-17,Loom,['Loom'],"[('Loom', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618110A,1926-06-23,Tassel,['Tassel'],"[('Tassel', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618111A,1926-07-15,Tassel,['Tassel'],"[('Tassel', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618127A,1925-08-26,Clutch,['Clutch'],"[('Clutch', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618134A,1925-11-18,Necktie,['Necktie'],"[('Necktie', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618147A,1926-08-23,Garter,['Garter'],"[('Garter', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618176A,1925-09-15,Drier,['Drier'],"[('Drier', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618179A,1922-01-23,Toy,['Toy'],"[('Toy', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618192A,1923-05-17,Roofing,['Roofing'],"[('Roofing', 'VBG')]","['PROPN', 'SPACE']",[],1,0,2
US1618210A,1925-09-17,Siren,['Siren'],"[('Siren', 'NNS')]","['PROPN', 'SPACE']",[],1,0,2
US1618252A,1926-03-24,Mop,['Mop'],"[('Mop', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618257A,1923-02-27,Skid,['Skid'],"[('Skid', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618285A,1927-02-22,Blade lashing,"['Blade', 'lashing']","[('Blade', 'NNP'), ('lashing', 'NN')]","['PROPN', 'VERB']",['ORG'],1,0,2
US1618290A,1927-02-22,toledo,['toledo'],"[('toledo', 'NN')]",['PROPN'],['GPE'],1,0,1
US1618293A,1926-03-01,Locomotive,['Locomotive'],"[('Locomotive', 'JJ')]","['PROPN', 'SPACE']",[],1,0,2
US1618294A,1926-03-30,Underreamer,['Underreamer'],"[('Underreamer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618310A,1923-06-04,Speedometer,['Speedometer'],"[('Speedometer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618311A,1924-05-27,Paintbrush,['Paintbrush'],"[('Paintbrush', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618325A,1924-01-25,Box,['Box'],"[('Box', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618329A,1923-09-15,Planter,['Planter'],"[('Planter', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618334A,1925-04-06,Hanger,['Hanger'],"[('Hanger', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618338A,1926-02-01,Conveyer,['Conveyer'],"[('Conveyer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618346A,1925-09-23,Furnace,['Furnace'],"[('Furnace', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618369A,1927-02-22,of wilmington,"['of', 'wilmington']","[('of', 'IN'), ('wilmington', 'NN')]","['ADP', 'PROPN']",[],1,0,2
US1618376A,1927-02-22,oe cleveland,"['oe', 'cleveland']","[('oe', 'NN'), ('cleveland', 'NN')]","['INTJ', 'PROPN']",['GPE'],1,0,2
US1618385A,1924-03-15,Hairpin,['Hairpin'],"[('Hairpin', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618389A,1924-03-15,Buckle,['Buckle'],"[('Buckle', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618425A,1925-08-28,Headlight,['Headlight'],"[('Headlight', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618447A,1921-10-07,Crib,['Crib'],"[('Crib', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
