patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,is_inventor
US1617677A,1927-02-15,Assickctob,['assickctob'],"[('Assickctob', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1617745A,1927-02-15,Albert cotysinard,"['albert', 'cotysinard']","[('Albert', 'NNP'), ('cotysinard', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1618370A,1927-02-22,Max engelmann,"['max', 'engelmann']","[('Max', 'NNP'), ('engelmann', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1618578A,1927-02-22,Robert t,"['robert', 't']","[('Robert', 'NNP'), ('t', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1618608A,1927-02-22,William,['william'],"[('William', 'NNP')]",['PROPN'],['PERSON'],1,1,1,1
US1620574A,1927-03-08,Edward s,"['edward', 's']","[('Edward', 'NNP'), ('s', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1621054A,1927-03-15,Max bicheroux,"['max', 'bicheroux']","[('Max', 'NNP'), ('bicheroux', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1621278A,1927-03-15,Jacques boston,"['jacques', 'boston']","[('Jacques', 'NNS'), ('boston', 'VBP')]","['PROPN', 'PROPN']","['PERSON', 'GPE']",1,1,2,1
US1621668A,1927-03-22,Steven heitler,"['steven', 'heitler']","[('Steven', 'NNP'), ('heitler', 'NN')]","['ADJ', 'NOUN']",['PERSON'],0,1,2,1
US1621838A,1927-03-22,hawley,['hawley'],"[('hawley', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1621866A,1927-03-22,William b,"['william', 'b']","[('William', 'NNP'), ('b', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1621933A,1927-03-22,jones,['jones'],"[('jones', 'NNS')]",['PROPN'],['PERSON'],1,1,1,1
US1622084A,1927-03-22,Sottthwick,['sottthwick'],"[('Sottthwick', 'NN')]",['VERB'],['PERSON'],0,1,2,1
US1622366A,1921-03-11,bueno,['bueno'],"[('bueno', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1622409A,1927-03-29,bernstein,['bernstein'],"[('bernstein', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1622564A,1927-03-29,barkley,['barkley'],"[('barkley', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1622698A,1927-03-29,ihi iii,"['ihi', 'iii']","[('ihi', 'NN'), ('iii', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1622719A,1926-02-19,Autoboggan,['autoboggan'],"[('Autoboggan', 'NNP')]",['PROPN'],['PERSON'],1,1,2,1
US1622872A,1927-03-29,Sepabatob,['sepabatob'],"[('Sepabatob', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1623303A,1927-04-05,Richard w,"['richard', 'w']","[('Richard', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1623915A,1927-04-05,Charles edwin,"['charles', 'edwin']","[('Charles', 'NNP'), ('edwin', 'VBP')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1623949A,1927-04-05,Ivan gubelmann,"['ivan', 'gubelmann']","[('Ivan', 'NNP'), ('gubelmann', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1624927A,1927-04-19,Charles w,"['charles', 'w']","[('Charles', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1624942A,1927-04-19,george,['george'],"[('george', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1625153A,1927-04-19,Thomas i,"['thomas', 'i']","[('Thomas', 'NNP'), ('i', 'NN')]","['PROPN', 'PRON']",['PERSON'],1,1,2,1
US1625216A,1927-04-19,James i,"['james', 'i']","[('James', 'NNP'), ('i', 'NN')]","['PROPN', 'PRON']",['PERSON'],1,1,2,1
US1625333A,1927-04-19,redfield,['redfield'],"[('redfield', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1625403A,1927-04-19,stevens,['stevens'],"[('stevens', 'NNS')]",['VERB'],['PERSON'],0,1,1,1
US1625518A,1927-04-19,beisel,['beisel'],"[('beisel', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1625519A,1927-04-19,Herbert l,"['herbert', 'l']","[('Herbert', 'NNP'), ('l', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1625630A,1927-04-19,louis,['louis'],"[('louis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1625640A,1927-04-19,Joseph h,"['joseph', 'h']","[('Joseph', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1625725A,1927-04-19,irvin,['irvin'],"[('irvin', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1626610A,1927-05-03,Frank horkqtjist,"['frank', 'horkqtjist']","[('Frank', 'NNP'), ('horkqtjist', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1627013A,1927-05-03,John cowie,"['john', 'cowie']","[('John', 'NNP'), ('cowie', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1627629A,1927-05-10,anderson,['anderson'],"[('anderson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1627930A,1927-05-10,richardson,['richardson'],"[('richardson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1628107A,1927-05-10,Paul braach,"['paul', 'braach']","[('Paul', 'NNP'), ('braach', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
