patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US1680966A,1928-08-14,A cobpobation of new ,"['A', 'cobpobation', 'of', 'new']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN'), ('new', 'JJ')]","['DET', 'NOUN', 'ADP', 'ADJ']",[],0,0,4,0,1
US1681888A,1928-08-21,of  millville ,"['of', 'millville']","[('of', 'IN'), ('millville', 'NN')]","['ADP', 'SPACE', 'NOUN']",[],0,0,3,0,1
US1682109A,1928-08-28,of mansfield ,"['of', 'mansfield']","[('of', 'IN'), ('mansfield', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1682133A,1928-08-28,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1682136A,1928-08-28,of mansfield ,"['of', 'mansfield']","[('of', 'IN'), ('mansfield', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1682142A,1928-08-28,of moline ,"['of', 'moline']","[('of', 'IN'), ('moline', 'NN')]","['ADP', 'NOUN']",['CARDINAL'],0,0,2,0,1
US1682178A,1928-08-28,of seattle ,"['of', 'seattle']","[('of', 'IN'), ('seattle', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1682249A,1928-08-28,A cobpobation op ,"['A', 'cobpobation', 'op']","[('A', 'DT'), ('cobpobation', 'NN'), ('op', 'NN')]","['DET', 'NOUN', 'NOUN']",[],0,0,3,0,1
US1682298A,1928-08-28,A coeposatiou ,"['A', 'coeposatiou']","[('A', 'DT'), ('coeposatiou', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1682350A,1928-08-28,A cobpoba ,"['A', 'cobpoba']","[('A', 'DT'), ('cobpoba', 'NN')]","['DET', 'ADJ']",[],0,0,2,0,1
US1682371A,1928-08-28,of syracuse ,"['of', 'syracuse']","[('of', 'IN'), ('syracuse', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1682372A,1928-08-28,of syracuse ,"['of', 'syracuse']","[('of', 'IN'), ('syracuse', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1682433A,1928-08-28,A cobpgbation of ,"['A', 'cobpgbation', 'of']","[('A', 'DT'), ('cobpgbation', 'NN'), ('of', 'IN')]","['DET', 'NOUN', 'ADP']",[],0,0,3,0,1
US1682765A,1928-09-04,A cokpobatioivt ,"['A', 'cokpobatioivt']","[('A', 'DT'), ('cokpobatioivt', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1683235A,1928-09-04,And ceables kaiser ,"['And', 'ceables', 'kaiser']","[('And', 'CC'), ('ceables', 'NNS'), ('kaiser', 'VBP')]","['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
US1683332A,1928-09-04,of dayton ,"['of', 'dayton']","[('of', 'IN'), ('dayton', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1683444A,1928-09-04,A cobpoba ,"['A', 'cobpoba']","[('A', 'DT'), ('cobpoba', 'NN')]","['DET', 'ADJ']",[],0,0,2,0,1
US1684930A,1928-09-18,A cobpobation of massachtj ,"['A', 'cobpobation', 'of', 'massachtj']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN'), ('massachtj', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
US1685715A,1928-09-25,to chemische ,"['to', 'chemische']","[('to', 'TO'), ('chemische', 'VB')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1685920A,1928-10-02,A coepoeation oe wis ,"['A', 'coepoeation', 'oe', 'wis']","[('A', 'DT'), ('coepoeation', 'NN'), ('oe', 'NN'), ('wis', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
